"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"2","中信期货","19,495","6,692","国投安信期货","11,230","-1,329","永安期货","9,402","-292"
"3","新湖期货","9,611","558","上海中期","7,984","-1,171","国投安信期货","7,327","-237"
"4","徽商期货","9,173","3,690","银河期货","6,432","-896","宁证期货","6,366","2"
"5","东吴期货","6,334","1,710","弘业期货","6,189","-97","弘业期货","5,827","94"
"6","华泰期货","5,993","2,566","华泰期货","4,680","1,014","五矿经易期货","5,316","743"
"7","国泰君安","5,543","2,113","一德期货","3,028","-389","摩根大通","5,223","-598"
"8","浙商期货","5,421","4,051","东证期货","2,921","266","银河期货","4,838","-253"
"9","国投安信期货","5,254","2,742","中信建投","2,889","-402","上海中期","4,261","-148"
"10","永安期货","5,134","1,709","永安期货","2,692","-1,372","华泰期货","3,829","-427"
"11","银河期货","5,101","3,265","方正中期","2,597","-533","国泰君安","3,663","-178"
"12","方正中期","4,941","2,923","中财期货","2,477","-10","方正中期","3,293","-826"
"13","华安期货","4,805","754","五矿经易期货","2,423","-147","兴证期货","2,963","-1,138"
"14","上海大陆","4,415","2,393","国泰君安","2,190","155","上海大陆","2,675","701"
"15","兴证期货","4,206","1,008","宏源期货","2,075","40","中电投先融","2,419","998"
"16","东方财富","3,991","1,571","申银万国","1,927","-390","东证期货","2,094","-218"
"17","海通期货","3,959","1,233","徽商期货","1,696","-448","长安期货","2,048","-224"
"18","上海中期","3,903","2,023","中钢期货","1,676","381","浙商期货","1,877","-2,899"
"19","申银万国","3,895","1,595","上海大陆","1,672","-918","国海良时","1,768","-2"
"20","弘业期货","3,579","1,433","东海期货","1,498","-18","宏源期货","1,380","-77"
"合计","","134,311","48,013","","85,471","-7,690","","95,755","-3,738"
"品种：白糖SR     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","海通期货","65,841","-37,327","中粮期货","30,370","-11","中粮期货","71,188","-115"
"2","华泰期货","39,407","-12,415","中信期货","21,872","69","光大期货","32,736","168"
"3","东证期货","30,161","-14,808","宏源期货","19,485","177","华泰期货","22,865","9"
"4","中信期货","20,529","-8,801","华泰期货","18,328","34","创元期货","14,760","148"
"5","广发期货","17,978","-11,146","东兴期货","16,840","-28","华金期货","14,200","32"
"6","徽商期货","17,644","-1,670","浙商期货","16,690","310","东证期货","13,960","-48"
"7","华安期货","17,279","-3,149","一德期货","16,278","-19","中信期货","13,672","504"
"8","光大期货","14,812","-6,947","东证期货","15,844","75","财达期货","12,993","-7"
